,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,6,"[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]","[4, 3, 3, 5, 6, 3]",67.6352,0.6764,0.8187,0.6424,0:02:18,320882,16114028
0,5,"[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]","[2, 3, 5, 2, 2]",62.8373,0.6290,0.7454,0.5878,0:02:05,220585,10937766
0,8,"[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]","[1, 4, 1, 6, 1, 2, 4, 3]",82.0908,0.7912,0.8941,0.7653,0:03:31,2887300,144466168
0,6,"[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]","[6, 5, 1, 4, 4, 1]",79.9297,0.7988,0.8814,0.7726,0:02:38,1425436,70796712
0,4,"[128, 128, 128, 128]","[4, 6, 6, 4]","[2, 1, 3, 1]",80.3330,0.8033,0.8560,0.7778,0:01:56,542084,26409208
0,7,"[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]","[2, 2, 4, 3, 5, 2, 3]",82.5354,0.8147,0.8835,0.7893,0:03:06,2240111,111711754
0,7,"[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]","[1, 2, 3, 1, 6, 3, 5]",82.5768,0.8068,0.8769,0.7818,0:02:38,688528,34827072
0,9,"[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]","[1, 1, 3, 6, 1, 1, 3, 4, 5]",73.0535,0.7305,0.8272,0.6992,0:03:02,219157,11650254
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]","[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]",81.0051,0.7865,0.8791,0.7598,0:03:34,1274401,65040150
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]","[6, 2, 2, 1, 6, 1, 4, 4]",83.7659,0.8253,0.8915,0.8022,0:03:15,1804312,90600944
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]","[5, 3, 4, 6, 1, 4, 3, 2, 6]",82.3183,0.8119,0.8968,0.7872,0:03:54,3925066,196050428
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]","[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]",82.0391,0.8193,0.8792,0.7943,0:04:42,6338896,316317120
0,6,"[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]","[4, 2, 3, 4, 6, 6]",76.5795,0.7624,0.8608,0.7332,0:02:22,508084,25420472
0,5,"[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]","[4, 3, 4, 4, 4]",80.3330,0.7855,0.8746,0.7580,0:02:27,1869828,92082648
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]","[1, 4, 1, 2, 6, 1, 2, 3, 1]",82.4630,0.8190,0.8989,0.7949,0:03:49,2961022,148915956
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]","[5, 6, 6, 5, 6, 4, 5, 4, 4]",79.9917,0.7889,0.8860,0.7619,0:03:18,1630025,81926726
0,4,"[160, 160, 160, 160]","[3, 6, 4, 6]","[3, 6, 1, 2]",77.2516,0.7699,0.8322,0.7403,0:02:02,1084789,52905902
0,5,"[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]","[4, 2, 3, 5, 1]",77.3240,0.7734,0.8515,0.7447,0:02:09,500743,24802554
0,4,"[80, 80, 80, 80]","[3, 4, 5, 4]","[5, 1, 2, 3]",59.3113,0.5934,0.7425,0.5502,0:01:50,275770,13403516
0,6,"[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]","[6, 6, 6, 3, 3, 5]",78.4097,0.7841,0.8601,0.7562,0:02:25,798250,39737852
0,8,"[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]","[1, 1, 4, 4, 6, 4, 1, 4]",75.3593,0.7536,0.8651,0.7254,0:02:47,361504,18631648
0,7,"[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]","[2, 4, 5, 1, 4, 5, 4]",82.6388,0.8264,0.8844,0.8030,0:02:42,1026363,51508114
0,6,"[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]","[4, 1, 5, 3, 5, 5]",76.8793,0.7688,0.8514,0.7413,0:02:22,482324,24166072
0,4,"[96, 96, 96, 96]","[4, 6, 4, 4]","[1, 5, 6, 1]",72.2469,0.7225,0.8069,0.6904,0:01:51,427120,20799744
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]","[6, 1, 6, 5, 5, 4, 1, 1, 4]",80.7155,0.7940,0.8774,0.7670,0:03:53,3846520,192183152
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]","[2, 3, 6, 4, 3, 5]",75.4007,0.7541,0.8465,0.7246,0:02:20,312626,15712620
0,7,"[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]","[2, 2, 5, 1, 2, 2, 4]",82.4734,0.8210,0.9008,0.7971,0:03:07,2443978,121953020
0,7,"[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]","[1, 5, 1, 5, 5, 3, 4]",82.7112,0.8001,0.8933,0.7745,0:03:00,2010057,100224614
0,6,"[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]","[6, 1, 3, 2, 5, 4]",49.8397,0.4959,0.6010,0.4338,0:02:18,80728,4141424
0,6,"[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]","[6, 6, 2, 3, 4, 6]",82.1942,0.8219,0.8886,0.7983,0:02:28,1025579,50970290
