,mlp_ratio,embed_dim,num_heads,layer_num,id,zico_act
66,"[2, 3, 6, 4, 3, 5]","[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]",6,6,8.89485925925926
67,"[2, 2, 5, 1, 2, 2, 4]","[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]",7,7,9.952961290322582
68,"[1, 5, 1, 5, 5, 3, 4]","[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]",7,8,9.81418064516129
69,"[6, 1, 3, 2, 5, 4]","[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]",6,9,8.19635925925926
70,"[6, 6, 2, 3, 4, 6]","[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]",6,10,9.459233333333334
71,"[5, 1, 6, 6, 2, 3, 1, 4]","[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]",8,11,8.326291428571428
72,"[6, 4, 2, 2, 4, 4]","[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]",6,12,9.54411111111111
73,"[4, 3, 5, 5]","[128, 128, 128, 128]","[6, 3, 3, 6]",4,13,9.277115789473683
74,"[1, 5, 2, 5, 6]","[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]",5,14,8.96585652173913
75,"[2, 6, 6, 5]","[176, 176, 176, 176]","[4, 3, 6, 3]",4,15,9.578057894736842
76,"[4, 6, 2, 5, 5, 1, 3, 3, 6]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 3, 3, 6, 3, 5, 5, 4, 6]",9,16,9.325871794871794
77,"[3, 2, 6, 4, 3, 3, 4, 4]","[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 5, 6, 3, 5, 3, 6]",8,17,9.73026
78,"[1, 4, 3, 4, 1, 1, 3, 6, 1]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[5, 5, 4, 5, 6, 5, 4, 3, 5]",9,18,9.18981282051282
79,"[6, 6, 5, 6, 3, 2, 2, 3]","[144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 5, 5, 5, 5, 5]",8,19,9.844851428571427
80,"[4, 5, 4, 2, 1, 2, 5, 1, 4, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 3, 6, 5, 4, 3, 6, 5, 4, 4]",10,0,8.42553023255814
81,"[6, 2, 5, 1, 5, 6, 5, 5, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]",9,1,9.700466666666667
82,"[6, 4, 2, 1, 5]","[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]",5,2,9.607239130434783
83,"[6, 5, 2, 1, 3, 5, 2]","[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]",7,3,8.943019354838711
84,"[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]",10,4,9.331393023255815
85,"[3, 1, 3, 1, 4, 1, 3, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]",8,5,9.882082857142857
86,"[3, 3, 1, 4, 4, 5, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]",9,6,8.312087179487179
87,"[4, 2, 6, 3, 4, 6]","[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]",6,7,8.927814814814814
88,"[4, 6, 6, 6, 6]","[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]",5,8,9.823395652173913
89,"[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]",10,9,8.43543488372093
90,"[6, 4, 5, 2, 4]","[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]",5,10,9.667317391304348
91,"[5, 3, 1, 1]","[112, 112, 112, 112]","[3, 6, 5, 6]",4,11,8.995015789473685
92,"[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]",10,12,9.706681395348836
93,"[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]",10,13,8.405420930232559
94,"[1, 1, 1, 3, 1, 2]","[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]",6,14,8.388937037037037
95,"[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]",10,15,8.690972093023255
96,"[6, 2, 2, 2, 2, 6, 6, 2]","[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]",8,16,9.564588571428573
97,"[2, 3, 2, 2, 4]","[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]",5,17,8.708291304347826
98,"[1, 6, 4, 6, 2, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]",8,18,8.267622857142857
99,"[4, 5, 6, 3, 6, 2, 2]","[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]",7,19,8.72788064516129
100,"[4, 2, 4, 4, 2, 4, 2]","[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]",7,0,9.92917741935484
101,"[4, 2, 3, 1, 5, 3, 4, 6]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]",8,1,8.752477142857144
102,"[4, 5, 4, 2, 2, 3, 4, 4, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 3, 5, 5, 4, 5, 6, 3, 4]",9,2,9.4939
103,"[6, 5, 3, 3, 4]","[96, 96, 96, 96, 96]","[3, 5, 6, 3, 6]",5,3,9.183204347826086
104,"[6, 2, 3, 2, 2, 1, 5]","[192, 192, 192, 192, 192, 192, 192]","[5, 4, 3, 6, 6, 6, 3]",7,4,9.98748064516129
105,"[6, 6, 1, 4, 5, 6, 5, 2, 2]","[240, 240, 240, 240, 240, 240, 240, 240, 240]","[4, 4, 4, 4, 3, 4, 6, 5, 5]",9,5,10.35291282051282
106,"[3, 6, 1, 4, 3, 2, 3, 6, 5, 3]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 6, 5, 4, 6, 5, 6, 6, 5, 6]",10,6,9.439672093023255
107,"[1, 6, 2, 2, 1, 5, 5, 6, 6, 5]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 3, 5, 4, 6, 3, 3, 3, 3]",10,7,9.296006976744186
108,"[6, 4, 3, 1, 6, 4, 3, 5, 6, 3]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 4, 4, 3, 4, 3, 4, 6, 4, 6]",10,8,10.058820930232558
109,"[4, 3, 1, 5, 2, 4, 2, 4, 5]","[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 6, 5, 4, 6, 3, 6]",9,9,10.057041025641025
110,"[3, 5, 4, 5]","[80, 80, 80, 80]","[6, 6, 5, 4]",4,10,8.869042105263157
111,"[3, 2, 3, 5, 2, 4, 1, 1]","[96, 96, 96, 96, 96, 96, 96, 96]","[6, 6, 6, 3, 5, 6, 4, 3]",8,11,9.362782857142857
112,"[3, 1, 2, 6, 1]","[160, 160, 160, 160, 160]","[4, 4, 3, 3, 6]",5,12,9.508860869565217
113,"[5, 4, 6, 6, 1, 4, 5, 3, 3]","[144, 144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 4, 6, 5, 5, 4, 3]",9,13,9.907994871794873
114,"[5, 3, 1, 1, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 4, 5, 6, 4, 4]",6,14,9.219111111111111
115,"[6, 4, 6, 3, 3]","[160, 160, 160, 160, 160]","[6, 4, 3, 6, 5]",5,15,9.673926086956522
116,"[4, 2, 6, 6, 3, 6, 3, 4, 3, 3]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 5, 3, 6, 5, 3, 6, 4, 5, 4]",10,16,10.062944186046511
117,"[3, 4, 2, 1, 6]","[192, 192, 192, 192, 192]","[6, 6, 6, 6, 4]",5,17,9.753982608695653
118,"[5, 3, 4, 2, 3, 5, 6]","[32, 32, 32, 32, 32, 32, 32]","[3, 3, 6, 5, 6, 4, 6]",7,18,8.322754838709677
119,"[1, 4, 1, 3, 2, 6, 3, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[3, 4, 5, 3, 4, 3, 3, 6]",8,19,9.854354285714285
120,"[2, 1, 5, 5]","[32, 32, 32, 32]","[4, 3, 6, 4]",4,0,7.912568421052631
