,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,6,"[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]","[4, 2, 3, 4, 6, 6]",86.5377,0.8654,0.8779,0.8539,0:05:10,503523,25421032
0,5,"[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]","[4, 3, 4, 4, 4]",86.1933,0.8604,0.8716,0.8485,0:04:57,1859795,92083880
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]","[1, 4, 1, 2, 6, 1, 2, 3, 1]",87.2899,0.8731,0.8805,0.8622,0:06:00,2950077,148917300
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]","[5, 6, 6, 5, 6, 4, 5, 4, 4]",86.6525,0.8665,0.8813,0.8551,0:05:56,1623640,81927510
0,4,"[160, 160, 160, 160]","[3, 6, 4, 6]","[3, 6, 1, 2]",86.1687,0.8593,0.8694,0.8474,0:04:40,1075668,52907022
0,5,"[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]","[4, 2, 3, 5, 1]",86.2589,0.8626,0.8743,0.8508,0:04:53,495270,24803226
0,4,"[80, 80, 80, 80]","[3, 4, 5, 4]","[5, 1, 2, 3]",84.7258,0.8473,0.8658,0.8342,0:04:38,271209,13404076
0,6,"[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]","[6, 6, 6, 3, 3, 5]",86.0539,0.8605,0.8758,0.8486,0:05:09,792777,39738524
0,8,"[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]","[1, 1, 4, 4, 6, 4, 1, 4]",84.2584,0.8426,0.8671,0.8291,0:05:36,357855,18632096
0,7,"[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]","[2, 4, 5, 1, 4, 5, 4]",86.5869,0.8659,0.8796,0.8544,0:05:26,1019978,51508898
0,6,"[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]","[4, 1, 5, 3, 5, 5]",85.1029,0.8510,0.8673,0.8383,0:05:08,477763,24166632
0,4,"[96, 96, 96, 96]","[4, 6, 4, 4]","[1, 5, 6, 1]",84.2174,0.8422,0.8519,0.8287,0:04:38,421647,20800416
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]","[6, 1, 6, 5, 5, 4, 1, 1, 4]",87.2284,0.8697,0.8763,0.8585,0:06:03,3835575,192184496
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]","[2, 3, 6, 4, 3, 5]",86.2917,0.8629,0.8746,0.8512,0:05:07,308977,15713068
0,7,"[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]","[2, 2, 5, 1, 2, 2, 4]",87.8823,0.8784,0.8906,0.8680,0:05:30,2433033,121954364
0,7,"[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]","[1, 5, 1, 5, 5, 3, 4]",86.9558,0.8651,0.8735,0.8536,0:05:29,2000936,100225734
0,6,"[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]","[6, 1, 3, 2, 5, 4]",80.9461,0.8095,0.8243,0.7931,0:05:05,78903,4141648
0,6,"[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]","[6, 6, 2, 3, 4, 6]",86.1113,0.8605,0.8758,0.8486,0:05:09,1019194,50971074
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]","[5, 1, 6, 6, 2, 3, 1, 4]",82.4793,0.8249,0.8497,0.8100,0:05:35,101707,5508552
0,6,"[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]","[6, 4, 2, 2, 4, 4]",86.5213,0.8652,0.8767,0.8537,0:05:10,1157998,57937194
0,4,"[128, 128, 128, 128]","[6, 3, 3, 6]","[4, 3, 5, 5]",85.8244,0.8582,0.8741,0.8462,0:04:38,861687,42346864
0,5,"[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]","[1, 5, 2, 5, 6]",84.3158,0.8432,0.8610,0.8298,0:04:52,400569,20060236
0,4,"[176, 176, 176, 176]","[4, 3, 6, 3]","[2, 6, 6, 5]",84.4798,0.8448,0.8541,0.8316,0:04:41,1732893,85088836
