,mlp_ratio,embed_dim,num_heads,layer_num,id,jacob_cov
127,"[6, 1, 1, 2, 3, 1, 3, 5, 2]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 4, 6, 6, 4, 4, 6, 3]",9,7,-2419.7216084581914
128,"[6, 5, 2, 6, 3, 2, 5, 5, 6, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 4, 6, 4, 6, 3, 4, 6, 5, 4]",10,8,-3270.606226380948
129,"[1, 2, 2, 4]","[192, 192, 192, 192]","[4, 3, 6, 5]",4,9,-2397.3931395571694
130,"[4, 6, 2, 2, 3, 5]","[48, 48, 48, 48, 48, 48]","[5, 6, 6, 6, 5, 6]",6,10,-8105.881196007744
131,"[2, 1, 2, 4, 4]","[80, 80, 80, 80, 80]","[4, 5, 3, 3, 6]",5,11,-5681.168148813492
132,"[4, 5, 5, 4]","[96, 96, 96, 96]","[4, 3, 4, 6]",4,12,-5721.862503984574
133,"[5, 5, 1, 1, 5, 6, 4]","[80, 80, 80, 80, 80, 80, 80]","[3, 4, 6, 5, 5, 3, 3]",7,13,-3637.6741192017275
134,"[1, 5, 5, 3, 2, 4, 3, 1]","[48, 48, 48, 48, 48, 48, 48, 48]","[6, 5, 4, 6, 6, 5, 4, 5]",8,14,-3995.7002113078283
135,"[2, 3, 6, 5]","[112, 112, 112, 112]","[6, 3, 6, 6]",4,15,-3293.396986496213
136,"[6, 1, 1, 4, 5, 6, 2]","[96, 96, 96, 96, 96, 96, 96]","[4, 3, 3, 6, 4, 3, 5]",7,16,-2797.080118075004
137,"[1, 3, 3, 3, 5, 6, 2]","[112, 112, 112, 112, 112, 112, 112]","[3, 5, 3, 4, 6, 3, 5]",7,17,-2141.255324900614
138,"[3, 1, 5, 5, 4]","[144, 144, 144, 144, 144]","[3, 5, 3, 3, 4]",5,18,-2988.9644656779424
139,"[5, 2, 3, 1]","[80, 80, 80, 80]","[4, 4, 4, 6]",4,19,-9239.466065647664
140,"[6, 6, 4, 3, 2, 3, 6, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 6, 5, 4, 5, 3, 3]",8,0,-1533.1702262828553
141,"[3, 3, 6, 3, 1, 1, 5, 1, 3, 1]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 5, 4, 5, 6, 3, 6, 6, 3, 3]",10,1,-1187.1793395566588
142,"[3, 2, 3, 2, 6, 4, 6]","[112, 112, 112, 112, 112, 112, 112]","[5, 3, 3, 3, 5, 3, 5]",7,2,-2191.0092171539027
143,"[6, 3, 1, 6, 2, 6, 5, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[5, 3, 6, 6, 5, 4, 5, 5]",8,3,-1623.8313957863738
144,"[4, 6, 1, 4, 3, 2, 5]","[96, 96, 96, 96, 96, 96, 96]","[3, 4, 6, 6, 3, 4, 3]",7,4,-2228.259676660406
145,"[2, 2, 4, 1]","[144, 144, 144, 144]","[5, 6, 3, 4]",4,5,-4825.760083465829
146,"[3, 4, 4, 4, 6, 1]","[96, 96, 96, 96, 96, 96]","[4, 5, 4, 4, 4, 4]",6,6,-4292.842808908344
147,"[2, 2, 5, 3, 5, 1, 2, 2, 6, 4]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 4, 4, 4, 4, 5, 3, 6, 4, 3]",10,7,-1299.5651162335985
148,"[4, 5, 4, 2, 4]","[48, 48, 48, 48, 48]","[6, 3, 4, 3, 3]",5,8,-10070.736958237721
149,"[6, 2, 6, 4]","[192, 192, 192, 192]","[6, 5, 6, 5]",4,9,-2434.9561518113824
150,"[3, 6, 1, 2, 5, 2, 6]","[240, 240, 240, 240, 240, 240, 240]","[4, 3, 3, 3, 6, 4, 6]",7,10,-1396.943545982102
151,"[6, 2, 5, 6, 5, 3, 1, 5, 2, 3]","[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]","[5, 5, 5, 5, 4, 3, 6, 4, 6, 5]",10,11,-1284.5163700297535
152,"[4, 2, 4, 3, 6, 3]","[80, 80, 80, 80, 80, 80]","[5, 6, 6, 6, 5, 4]",6,12,-3933.4566920783377
153,"[2, 3, 5, 2, 5, 2, 5]","[240, 240, 240, 240, 240, 240, 240]","[6, 5, 5, 6, 5, 6, 3]",7,13,-1378.787214298158
154,"[3, 4, 6, 1, 1]","[64, 64, 64, 64, 64]","[4, 3, 5, 3, 4]",5,14,-10179.157865100506
155,"[2, 6, 3, 5, 3, 1, 6, 6]","[112, 112, 112, 112, 112, 112, 112, 112]","[3, 3, 4, 5, 4, 6, 6, 5]",8,15,-2198.7148948591466
156,"[5, 4, 1, 6]","[112, 112, 112, 112]","[3, 4, 3, 5]",4,16,-3707.7133300640494
157,"[2, 4, 2, 3, 2, 2, 4, 6, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[6, 4, 3, 3, 6, 3, 4, 3, 6]",9,17,-2144.4863031846853
158,"[6, 6, 5, 2, 6, 1]","[176, 176, 176, 176, 176, 176]","[5, 4, 5, 5, 6, 6]",6,18,-2504.619911482086
159,"[3, 6, 1, 4, 2, 1]","[64, 64, 64, 64, 64, 64]","[5, 6, 6, 6, 4, 6]",6,19,-8386.075526114708
160,"[6, 1, 5, 1, 2, 6, 4, 3, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 5, 5, 3, 5, 3, 3, 3]",9,0,-1437.8935117408596
161,"[2, 1, 4, 4]","[48, 48, 48, 48]","[6, 3, 5, 4]",4,1,-8891.685294322886
162,"[4, 6, 5, 6, 2, 1, 2, 4, 1]","[160, 160, 160, 160, 160, 160, 160, 160, 160]","[3, 6, 4, 5, 6, 6, 3, 6, 4]",9,2,-1638.2528772959768
163,"[6, 2, 5, 2, 1]","[128, 128, 128, 128, 128]","[6, 5, 5, 5, 4]",5,3,-3825.251055506595
164,"[1, 6, 1, 5, 1, 1, 6, 3, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[4, 4, 3, 5, 3, 5, 4, 5, 3]",9,4,-4049.46425862498
165,"[2, 3, 4, 3, 6, 4]","[128, 128, 128, 128, 128, 128]","[6, 3, 3, 5, 6, 6]",6,5,-2619.8194328908035
166,"[4, 5, 4, 5, 1, 2, 2, 6]","[192, 192, 192, 192, 192, 192, 192, 192]","[6, 5, 4, 3, 4, 4, 3, 6]",8,6,-1520.1192958738472
167,"[1, 6, 1, 5, 3, 5, 3, 3]","[112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 5, 6, 5, 4, 3, 6]",8,7,-2435.8157515235725
168,"[5, 1, 2, 5, 1, 4]","[32, 32, 32, 32, 32, 32]","[3, 5, 6, 4, 3, 3]",6,8,-9680.390560524416
169,"[3, 1, 3, 2, 3, 3, 4, 4]","[160, 160, 160, 160, 160, 160, 160, 160]","[6, 3, 4, 6, 5, 4, 3, 6]",8,9,-1387.4473535482175
