,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]","[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]",92.6278,0.9263,0.9713,0.9182,0:07:51,6339856,316317120
0,6,"[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]","[4, 2, 3, 4, 6, 6]",83.1152,0.8312,0.9362,0.8142,0:05:09,508404,25420472
0,5,"[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]","[4, 3, 4, 4, 4]",90.4358,0.9020,0.9626,0.8915,0:05:27,1870532,92082648
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]","[1, 4, 1, 2, 6, 1, 2, 3, 1]",91.1062,0.9111,0.9652,0.9014,0:06:48,2961790,148915956
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]","[5, 6, 6, 5, 6, 4, 5, 4, 4]",88.4866,0.8845,0.9552,0.8721,0:06:14,1630473,81926726
0,4,"[160, 160, 160, 160]","[3, 6, 4, 6]","[3, 6, 1, 2]",83.8606,0.8386,0.9386,0.8222,0:04:58,1085429,52905902
0,5,"[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]","[4, 2, 3, 5, 1]",83.0749,0.8307,0.9313,0.8136,0:04:56,501127,24802554
0,4,"[80, 80, 80, 80]","[3, 4, 5, 4]","[5, 1, 2, 3]",77.2066,0.7721,0.8880,0.7497,0:04:45,276090,13403516
0,6,"[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]","[6, 6, 6, 3, 3, 5]",87.4946,0.8749,0.9516,0.8618,0:05:17,798634,39737852
0,8,"[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]","[1, 1, 4, 4, 6, 4, 1, 4]",80.5284,0.8053,0.9224,0.7862,0:05:27,361760,18631648
0,7,"[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]","[2, 4, 5, 1, 4, 5, 4]",87.0108,0.8701,0.9535,0.8566,0:05:36,1026811,51508114
0,6,"[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]","[4, 1, 5, 3, 5, 5]",84.3762,0.8404,0.9422,0.8242,0:05:12,482644,24166072
0,4,"[96, 96, 96, 96]","[4, 6, 4, 4]","[1, 5, 6, 1]",82.1954,0.8218,0.9167,0.8039,0:04:46,427504,20799744
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]","[6, 1, 6, 5, 5, 4, 1, 1, 4]",91.6631,0.9166,0.9663,0.9074,0:06:56,3847288,192183152
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]","[2, 3, 6, 4, 3, 5]",81.4097,0.8141,0.9245,0.7955,0:04:58,312882,15712620
0,7,"[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]","[2, 2, 5, 1, 2, 2, 4]",92.0850,0.9208,0.9659,0.9121,0:06:11,2444746,121953020
0,7,"[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]","[1, 5, 1, 5, 5, 3, 4]",90.6196,0.9057,0.9631,0.8955,0:06:06,2010697,100224614
0,6,"[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]","[6, 1, 3, 2, 5, 4]",66.5688,0.6654,0.7891,0.6334,0:04:56,80856,4141424
0,6,"[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]","[6, 6, 2, 3, 4, 6]",88.7941,0.8705,0.9510,0.8569,0:05:22,1026027,50970290
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]","[5, 1, 6, 6, 2, 3, 1, 4]",74.4801,0.7448,0.8754,0.7204,0:05:12,103660,5508328
0,6,"[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]","[6, 4, 2, 2, 4, 4]",87.7431,0.8642,0.9471,0.8500,0:05:26,1165807,57936298
0,4,"[128, 128, 128, 128]","[6, 3, 3, 6]","[4, 3, 5, 5]",87.9090,0.8790,0.9545,0.8663,0:04:52,869496,42345968
