,mlp_ratio,embed_dim,num_heads,layer_num,id,zico
24,"[4, 6, 1, 1, 1, 2, 6, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 3, 6, 5, 6, 6]",8,4,238.9532
25,"[6, 2, 4, 1, 3, 2, 3, 5, 2]","[144, 144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 3, 3, 3, 6, 4, 3]",9,5,239.6276
26,"[3, 2, 6, 1, 2, 5, 2]","[176, 176, 176, 176, 176, 176, 176]","[3, 4, 6, 6, 5, 4, 3]",7,6,234.4427
27,"[2, 5, 4, 6, 6, 4, 5]","[112, 112, 112, 112, 112, 112, 112]","[6, 5, 6, 6, 4, 4, 3]",7,7,226.9665
28,"[6, 3, 3, 1, 5, 2, 3, 5, 2]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 5, 6, 3, 3, 3, 3, 4, 4]",9,8,213.7655
29,"[1, 4, 3, 2, 2, 6]","[240, 240, 240, 240, 240, 240]","[6, 5, 6, 3, 3, 3]",6,9,233.114
30,"[2, 3, 5, 5, 4, 4, 4]","[48, 48, 48, 48, 48, 48, 48]","[4, 3, 3, 4, 5, 5, 5]",7,10,212.636
31,"[3, 3, 4, 4, 4, 1, 2]","[128, 128, 128, 128, 128, 128, 128]","[4, 4, 5, 5, 3, 3, 6]",7,11,229.467
32,"[4, 5, 6, 1, 6]","[128, 128, 128, 128, 128]","[4, 5, 6, 3, 6]",5,12,220.4919
33,"[1, 1, 4, 2, 1, 1, 5]","[48, 48, 48, 48, 48, 48, 48]","[4, 5, 3, 5, 4, 6, 6]",7,13,209.9812
34,"[5, 6, 4, 5]","[128, 128, 128, 128]","[5, 3, 5, 4]",4,14,214.2691
35,"[3, 6, 6, 1, 5, 2, 1, 4, 4, 3]","[80, 80, 80, 80, 80, 80, 80, 80, 80, 80]","[4, 6, 5, 3, 3, 3, 6, 5, 3, 4]",10,15,231.7047
36,"[6, 5, 6, 5]","[128, 128, 128, 128]","[6, 5, 3, 4]",4,16,214.6397
37,"[4, 1, 1, 4, 1, 1, 4, 2]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 6, 6, 6, 3, 6, 5, 5]",8,17,216.1147
38,"[1, 1, 3, 6, 1, 3]","[176, 176, 176, 176, 176, 176]","[5, 4, 3, 4, 5, 3]",6,18,227.2794
39,"[2, 1, 2, 6, 6]","[176, 176, 176, 176, 176]","[3, 3, 5, 5, 3]",5,19,223.2218
40,"[2, 2, 4, 1, 4]","[112, 112, 112, 112, 112]","[5, 5, 4, 3, 4]",5,0,216.2662
41,"[4, 3, 3, 5, 6, 3]","[64, 64, 64, 64, 64, 64]","[4, 3, 3, 5, 4, 6]",6,1,214.3995
42,"[2, 3, 5, 2, 2]","[64, 64, 64, 64, 64]","[4, 5, 5, 6, 3]",5,2,207.6317
43,"[1, 4, 1, 6, 1, 2, 4, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[6, 4, 6, 5, 5, 3, 4, 6]",8,3,237.769
44,"[6, 5, 1, 4, 4, 1]","[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]",6,4,228.2121
45,"[2, 1, 3, 1]","[128, 128, 128, 128]","[4, 6, 6, 4]",4,5,211.0756
46,"[2, 2, 4, 3, 5, 2, 3]","[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]",7,6,233.7564
47,"[1, 2, 3, 1, 6, 3, 5]","[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]",7,7,222.1785
48,"[1, 1, 3, 6, 1, 1, 3, 4, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]",9,8,216.793
49,"[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]",10,9,237.103
50,"[6, 2, 2, 1, 6, 1, 4, 4]","[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]",8,10,236.1239
51,"[5, 3, 4, 6, 1, 4, 3, 2, 6]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]",9,11,244.6866
52,"[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]",10,12,248.8105
53,"[4, 2, 3, 4, 6, 6]","[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]",6,13,217.8379
54,"[4, 3, 4, 4, 4]","[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]",5,14,225.3355
55,"[1, 4, 1, 2, 6, 1, 2, 3, 1]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]",9,15,241.0451
56,"[5, 6, 6, 5, 6, 4, 5, 4, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]",9,16,236.1263
57,"[3, 6, 1, 2]","[160, 160, 160, 160]","[3, 6, 4, 6]",4,17,216.1499
58,"[4, 2, 3, 5, 1]","[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]",5,18,215.292
59,"[5, 1, 2, 3]","[80, 80, 80, 80]","[3, 4, 5, 4]",4,19,205.7853
60,"[6, 6, 6, 3, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]",6,0,222.3251
61,"[1, 1, 4, 4, 6, 4, 1, 4]","[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]",8,1,218.6064
62,"[2, 4, 5, 1, 4, 5, 4]","[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]",7,2,226.6291
63,"[4, 1, 5, 3, 5, 5]","[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]",6,3,217.5246
64,"[1, 5, 6, 1]","[96, 96, 96, 96]","[4, 6, 4, 4]",4,4,206.4343
65,"[6, 1, 6, 5, 5, 4, 1, 1, 4]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]",9,5,244.4968
66,"[2, 3, 6, 4, 3, 5]","[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]",6,6,213.1265
