,mlp_ratio,embed_dim,num_heads,layer_num,id,fisher
81,"[6, 2, 5, 1, 5, 6, 5, 5, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]",9,1,0.07890000194311142
82,"[6, 4, 2, 1, 5]","[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]",5,2,0.11099224537611008
83,"[6, 5, 2, 1, 3, 5, 2]","[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]",7,3,0.029105715453624725
84,"[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]",10,4,0.07081368565559387
85,"[3, 1, 3, 1, 4, 1, 3, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]",8,5,0.15848565101623535
86,"[3, 3, 1, 4, 4, 5, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]",9,6,0.00818746816366911
87,"[4, 2, 6, 3, 4, 6]","[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]",6,7,0.017270952463150024
88,"[4, 6, 6, 6, 6]","[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]",5,8,0.16964450478553772
89,"[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]",10,9,0.04380644112825394
90,"[6, 4, 5, 2, 4]","[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]",5,10,0.11830785125494003
91,"[5, 3, 1, 1]","[112, 112, 112, 112]","[3, 6, 5, 6]",4,11,0.031947970390319824
92,"[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]",10,12,0.19926244020462036
93,"[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]",10,13,0.05293871462345123
94,"[1, 1, 1, 3, 1, 2]","[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]",6,14,0.004601881839334965
95,"[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]",10,15,0.03775473311543465
96,"[6, 2, 2, 2, 2, 6, 6, 2]","[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]",8,16,0.06598047912120819
97,"[2, 3, 2, 2, 4]","[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]",5,17,0.005100035574287176
98,"[1, 6, 4, 6, 2, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]",8,18,0.005631772801280022
99,"[4, 5, 6, 3, 6, 2, 2]","[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]",7,19,0.017175691202282906
100,"[4, 2, 4, 4, 2, 4, 2]","[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]",7,0,0.2302832007408142
101,"[4, 2, 3, 1, 5, 3, 4, 6]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]",8,1,0.030725007876753807
