,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 4, 4, 3, 4, 3, 4, 6, 4, 6]","[6, 4, 3, 1, 6, 4, 3, 5, 6, 3]",88.8557,0.8886,0.8638,0.8758,0:01:35,7140493,355835760
0,9,"[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 6, 5, 4, 6, 3, 6]","[4, 3, 1, 5, 2, 4, 2, 4, 5]",88.0383,0.8804,0.8342,0.8665,0:01:18,3042656,152711986
0,4,"[80, 80, 80, 80]","[6, 6, 5, 4]","[3, 5, 4, 5]",83.0941,0.8309,0.7265,0.8109,0:00:42,350241,17127432
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[6, 6, 6, 3, 5, 6, 4, 3]","[3, 2, 3, 5, 2, 4, 1, 1]",86.8222,0.8682,0.8200,0.8530,0:01:04,723274,37072798
0,5,"[160, 160, 160, 160, 160]","[4, 4, 3, 3, 6]","[3, 1, 2, 6, 1]",87.9386,0.8794,0.8290,0.8653,0:00:50,1237595,61312468
0,9,"[144, 144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 4, 6, 5, 5, 4, 3]","[5, 4, 6, 6, 1, 4, 5, 3, 3]",88.3772,0.8838,0.8407,0.8704,0:01:14,2342437,117713120
0,6,"[96, 96, 96, 96, 96, 96]","[6, 4, 5, 6, 4, 4]","[5, 3, 1, 1, 3, 5]",86.3836,0.8638,0.8092,0.8480,0:00:53,592234,29828638
0,5,"[160, 160, 160, 160, 160]","[6, 4, 3, 6, 5]","[6, 4, 6, 3, 3]",86.2041,0.8620,0.8122,0.8460,0:00:51,1697906,83783182
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 5, 3, 6, 5, 3, 6, 4, 5, 4]","[4, 2, 6, 6, 3, 6, 3, 4, 3, 3]",89.9721,0.8945,0.8681,0.8825,0:01:35,7025053,350190960
0,5,"[192, 192, 192, 192, 192]","[6, 6, 6, 6, 4]","[3, 4, 2, 1, 6]",88.6164,0.8862,0.8437,0.8730,0:00:52,1994125,98521920
