layer_num,embed_dim,num_heads,mlp_ratio,dss,OA,flops,grasp,snip,zico,grad_norm,fisher,synflow,jacob_cov,zico_modified,zico_act,t_cet,NASWOT,croze,m_size,logsynflow
10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]","[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]",364.1872863769531,0.9017,65040150,-5.723499774932861,33.83784866333008,442.5814,16.06056785583496,0.2406572699546814,2.319876564162165,-1637.9806,237.103,9.298772093023256,50019.92,175.60177722639114,846.6065063476562,14568160,0.9002813392625453
8,"[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]","[6, 2, 2, 1, 6, 1, 4, 4]",664.7288208007812,0.8799,90600944,-2.8176486492156982,26.62704467773437,372.0582,10.171558380126951,0.126171737909317,2.88116649840498,-3036.644,236.1239,9.856674285714286,42896.816,176.56446254404045,729.1105346679688,12897760,1.0213039426170951
9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]","[5, 3, 4, 6, 1, 4, 3, 2, 6]",1485.374267578125,0.9015,196050428,-12.716134071350098,78.4355239868164,444.1956,20.39608192443848,0.5155569314956665,3.579150068536414,-2369.1961,244.6866,10.212305128205127,54535.043,185.8088186659564,847.9091796875,17998864,1.0821852556547211
10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]","[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]",2793.574951171875,0.9263,316317120,-9.964229583740234,101.53345489501952,508.5919,22.273794174194336,0.4381483793258667,4.310541610178156,-1990.964,248.8105,10.03603953488372,63383.402,189.48852437223104,935.2892456054688,28616896,1.2212303207550956
6,"[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]","[4, 2, 3, 4, 6, 6]",163.1286163330078,0.8312,25420472,-1.50551176071167,10.026355743408203,258.3797,5.921638011932373,0.1278072446584701,1.7844136577937206,-3649.7254,217.8379,9.247403703703704,26024.291,167.79023310698068,533.8749389648438,3832384,0.7606708843404704
5,"[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]","[4, 3, 4, 4, 4]",1192.468017578125,0.902,92082648,-5.5519795417785645,28.64217185974121,249.0964,8.97206974029541,0.2672688066959381,3.3159706019578152,-3716.2127,225.3355,9.83641304347826,28453.025,175.1206611163091,479.0571899414063,5834608,1.0711440813320223
9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]","[1, 4, 1, 2, 6, 1, 2, 3, 1]",1454.882080078125,0.9111,148915956,-3.916592121124268,48.982940673828125,430.63,15.819122314453123,0.3165644407272339,3.505507947035284,-2874.488,241.0451,10.076510256410256,52176.797,177.25211131089245,815.38330078125,18774736,1.016391040054998
9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]","[5, 6, 6, 5, 6, 4, 5, 4, 4]",368.7825317382813,0.8845,81926726,-4.123870849609375,32.951759338378906,409.6421,12.876312255859377,0.1646597534418106,2.358430240971483,-2015.7251,236.1263,9.811892307692307,46723.54,182.7532228867008,786.6134033203125,10351888,0.9450915203687308
4,"[160, 160, 160, 160]","[3, 6, 4, 6]","[3, 6, 1, 2]",939.5974731445312,0.8386,52905902,-2.420142889022827,15.500944137573242,196.452,6.316344738006592,0.2418350875377655,3.1246976280526724,-6674.0708,216.1499,9.4957,21994.094,164.1244999299322,379.79150390625,3452208,1.0749152489297558
5,"[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]","[4, 2, 3, 5, 1]",247.1710662841797,0.8307,24802554,-1.784179925918579,9.060412406921388,220.8688,5.1796417236328125,0.0836148113012313,2.0508261668437626,-4706.7129,215.292,9.22528695652174,21898.2,161.43103364552482,441.2033386230469,3200848,0.8282200200301304
