,mlp_ratio,embed_dim,num_heads,layer_num,id,grad_norm
57,"[3, 6, 1, 2]","[160, 160, 160, 160]","[3, 6, 4, 6]",4,17,15.110845565795898
58,"[4, 2, 3, 5, 1]","[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]",5,18,10.807291030883789
59,"[5, 1, 2, 3]","[80, 80, 80, 80]","[3, 4, 5, 4]",4,19,7.134654521942139
60,"[6, 6, 6, 3, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]",6,0,15.963967323303223
61,"[1, 1, 4, 4, 6, 4, 1, 4]","[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]",8,1,12.173249244689941
62,"[2, 4, 5, 1, 4, 5, 4]","[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]",7,2,21.239213943481445
63,"[4, 1, 5, 3, 5, 5]","[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]",6,3,12.816826820373535
64,"[1, 5, 6, 1]","[96, 96, 96, 96]","[4, 6, 4, 4]",4,4,8.626248359680176
65,"[6, 1, 6, 5, 5, 4, 1, 1, 4]","[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]",9,5,35.20314025878906
66,"[2, 3, 6, 4, 3, 5]","[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]",6,6,11.21315860748291
67,"[2, 2, 5, 1, 2, 2, 4]","[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]",7,7,36.952396392822266
68,"[1, 5, 1, 5, 5, 3, 4]","[160, 160, 160, 160, 160, 160, 160]","[6, 5, 3, 4, 4, 6, 6]",7,8,28.547077178955078
69,"[6, 1, 3, 2, 5, 4]","[32, 32, 32, 32, 32, 32]","[4, 5, 5, 6, 3, 4]",6,9,4.548965930938721
70,"[6, 6, 2, 3, 4, 6]","[112, 112, 112, 112, 112, 112]","[4, 5, 5, 4, 5, 3]",6,10,18.693679809570312
71,"[5, 1, 6, 6, 2, 3, 1, 4]","[32, 32, 32, 32, 32, 32, 32, 32]","[3, 3, 4, 3, 3, 4, 5, 3]",8,11,5.666365623474121
72,"[6, 4, 2, 2, 4, 4]","[128, 128, 128, 128, 128, 128]","[4, 5, 5, 4, 5, 6]",6,12,20.661407470703125
73,"[4, 3, 5, 5]","[128, 128, 128, 128]","[6, 3, 3, 6]",4,13,13.529870986938477
74,"[1, 5, 2, 5, 6]","[80, 80, 80, 80, 80]","[4, 3, 5, 4, 4]",5,14,10.106569290161133
75,"[2, 6, 6, 5]","[176, 176, 176, 176]","[4, 3, 6, 3]",4,15,18.43929100036621
76,"[4, 6, 2, 5, 5, 1, 3, 3, 6]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[6, 3, 3, 6, 3, 5, 5, 4, 6]",9,16,17.42542266845703
77,"[3, 2, 6, 4, 3, 3, 4, 4]","[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 5, 6, 3, 5, 3, 6]",8,17,26.085895538330078
78,"[1, 4, 3, 4, 1, 1, 3, 6, 1]","[80, 80, 80, 80, 80, 80, 80, 80, 80]","[5, 5, 4, 5, 6, 5, 4, 3, 5]",9,18,16.21168327331543
79,"[6, 6, 5, 6, 3, 2, 2, 3]","[144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 5, 5, 5, 5, 5]",8,19,26.357070922851562
80,"[4, 5, 4, 2, 1, 2, 5, 1, 4, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 3, 6, 5, 4, 3, 6, 5, 4, 4]",10,0,12.438555717468262
81,"[6, 2, 5, 1, 5, 6, 5, 5, 4]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 5, 5, 5, 3, 6, 5, 5, 5]",9,1,23.684602737426758
82,"[6, 4, 2, 1, 5]","[160, 160, 160, 160, 160]","[4, 6, 5, 6, 3]",5,2,19.9884090423584
83,"[6, 5, 2, 1, 3, 5, 2]","[64, 64, 64, 64, 64, 64, 64]","[4, 5, 6, 3, 4, 4, 5]",7,3,12.099119186401367
84,"[4, 1, 5, 4, 2, 6, 6, 4, 5, 6]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 3, 6, 6, 5, 5, 6]",10,4,26.68951988220215
85,"[3, 1, 3, 1, 4, 1, 3, 2]","[176, 176, 176, 176, 176, 176, 176, 176]","[6, 6, 6, 6, 3, 6, 5, 4]",8,5,36.416893005371094
86,"[3, 3, 1, 4, 4, 5, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32]","[5, 5, 3, 3, 4, 3, 6, 3, 5]",9,6,6.501917839050293
87,"[4, 2, 6, 3, 4, 6]","[64, 64, 64, 64, 64, 64]","[4, 4, 6, 5, 3, 4]",6,7,12.173226356506348
88,"[4, 6, 6, 6, 6]","[176, 176, 176, 176, 176]","[3, 3, 6, 4, 5]",5,8,20.280773162841797
89,"[1, 1, 5, 2, 3, 2, 3, 3, 6, 6]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 4, 6, 4, 3, 4, 3, 5]",10,9,15.242392539978027
90,"[6, 4, 5, 2, 4]","[160, 160, 160, 160, 160]","[4, 5, 4, 6, 3]",5,10,19.005420684814453
91,"[5, 3, 1, 1]","[112, 112, 112, 112]","[3, 6, 5, 6]",4,11,8.324836730957031
92,"[4, 5, 3, 6, 1, 2, 3, 1, 2, 6]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 3, 5, 4, 3, 6, 3, 5, 6, 3]",10,12,41.460426330566406
93,"[6, 2, 3, 1, 4, 1, 4, 3, 5, 5]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[5, 5, 6, 6, 4, 3, 6, 5, 4, 6]",10,13,13.943305015563965
94,"[1, 1, 1, 3, 1, 2]","[48, 48, 48, 48, 48, 48]","[6, 3, 5, 6, 6, 6]",6,14,5.682568550109863
95,"[1, 5, 4, 3, 1, 6, 5, 1, 1, 3]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]","[5, 3, 6, 3, 4, 5, 3, 3, 6, 5]",10,15,17.648332595825195
96,"[6, 2, 2, 2, 2, 6, 6, 2]","[112, 112, 112, 112, 112, 112, 112, 112]","[5, 3, 6, 6, 3, 4, 4, 5]",8,16,21.63060188293457
97,"[2, 3, 2, 2, 4]","[64, 64, 64, 64, 64]","[6, 5, 4, 6, 3]",5,17,7.058775901794434
98,"[1, 6, 4, 6, 2, 2, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32]","[5, 3, 3, 3, 3, 4, 4, 6]",8,18,5.319202899932861
99,"[4, 5, 6, 3, 6, 2, 2]","[48, 48, 48, 48, 48, 48, 48]","[5, 4, 6, 3, 4, 6, 5]",7,19,8.921174049377441
100,"[4, 2, 4, 4, 2, 4, 2]","[176, 176, 176, 176, 176, 176, 176]","[6, 6, 3, 5, 5, 5, 3]",7,0,34.384765625
101,"[4, 2, 3, 1, 5, 3, 4, 6]","[48, 48, 48, 48, 48, 48, 48, 48]","[3, 3, 4, 6, 3, 6, 6, 6]",8,1,9.289223670959473
102,"[4, 5, 4, 2, 2, 3, 4, 4, 2]","[96, 96, 96, 96, 96, 96, 96, 96, 96]","[5, 3, 5, 5, 4, 5, 6, 3, 4]",9,2,22.29665184020996
103,"[6, 5, 3, 3, 4]","[96, 96, 96, 96, 96]","[3, 5, 6, 3, 6]",5,3,10.948498725891113
104,"[6, 2, 3, 2, 2, 1, 5]","[192, 192, 192, 192, 192, 192, 192]","[5, 4, 3, 6, 6, 6, 3]",7,4,31.57994270324707
105,"[6, 6, 1, 4, 5, 6, 5, 2, 2]","[240, 240, 240, 240, 240, 240, 240, 240, 240]","[4, 4, 4, 4, 3, 4, 6, 5, 5]",9,5,46.03356170654297
106,"[3, 6, 1, 4, 3, 2, 3, 6, 5, 3]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[4, 6, 5, 4, 6, 5, 6, 6, 5, 6]",10,6,31.28533172607422
107,"[1, 6, 2, 2, 1, 5, 5, 6, 6, 5]","[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[3, 4, 3, 5, 4, 6, 3, 3, 3, 3]",10,7,24.910526275634766
108,"[6, 4, 3, 1, 6, 4, 3, 5, 6, 3]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 4, 4, 3, 4, 3, 4, 6, 4, 6]",10,8,52.960628509521484
109,"[4, 3, 1, 5, 2, 4, 2, 4, 5]","[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 6, 5, 4, 6, 3, 6]",9,9,35.910491943359375
110,"[3, 5, 4, 5]","[80, 80, 80, 80]","[6, 6, 5, 4]",4,10,8.71672534942627
111,"[3, 2, 3, 5, 2, 4, 1, 1]","[96, 96, 96, 96, 96, 96, 96, 96]","[6, 6, 6, 3, 5, 6, 4, 3]",8,11,16.973793029785156
112,"[3, 1, 2, 6, 1]","[160, 160, 160, 160, 160]","[4, 4, 3, 3, 6]",5,12,19.612384796142578
113,"[5, 4, 6, 6, 1, 4, 5, 3, 3]","[144, 144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 4, 6, 5, 5, 4, 3]",9,13,31.790889739990234
114,"[5, 3, 1, 1, 3, 5]","[96, 96, 96, 96, 96, 96]","[6, 4, 5, 6, 4, 4]",6,14,14.317509651184082
115,"[6, 4, 6, 3, 3]","[160, 160, 160, 160, 160]","[6, 4, 3, 6, 5]",5,15,18.338802337646484
116,"[4, 2, 6, 6, 3, 6, 3, 4, 3, 3]","[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 5, 3, 6, 5, 3, 6, 4, 5, 4]",10,16,52.08976745605469
117,"[3, 4, 2, 1, 6]","[192, 192, 192, 192, 192]","[6, 6, 6, 6, 4]",5,17,22.25733757019043
118,"[5, 3, 4, 2, 3, 5, 6]","[32, 32, 32, 32, 32, 32, 32]","[3, 3, 6, 5, 6, 4, 6]",7,18,6.274220943450928
119,"[1, 4, 1, 3, 2, 6, 3, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[3, 4, 5, 3, 4, 3, 3, 6]",8,19,29.384435653686523
120,"[2, 1, 5, 5]","[32, 32, 32, 32]","[4, 3, 6, 4]",4,0,2.735354423522949
121,"[5, 4, 1, 5, 2, 2, 2, 4]","[32, 32, 32, 32, 32, 32, 32, 32]","[6, 6, 3, 6, 4, 6, 3, 5]",8,1,4.9433135986328125
122,"[3, 6, 3, 3, 6, 4, 6, 2]","[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 3, 3, 5, 3, 4, 4]",8,2,26.476686477661133
123,"[5, 6, 3, 2, 4]","[144, 144, 144, 144, 144]","[3, 3, 6, 3, 6]",5,3,17.80257797241211
124,"[4, 5, 3, 2, 4]","[144, 144, 144, 144, 144]","[5, 6, 3, 5, 4]",5,4,17.199462890625
125,"[3, 4, 4, 1, 4]","[80, 80, 80, 80, 80]","[3, 6, 6, 4, 6]",5,5,9.080522537231445
126,"[4, 4, 2, 2, 4, 3]","[160, 160, 160, 160, 160, 160]","[5, 6, 4, 3, 4, 5]",6,6,25.205703735351562
127,"[6, 1, 1, 2, 3, 1, 3, 5, 2]","[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 4, 6, 6, 4, 4, 6, 3]",9,7,20.826696395874023
128,"[6, 5, 2, 6, 3, 2, 5, 5, 6, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 4, 6, 4, 6, 3, 4, 6, 5, 4]",10,8,8.944984436035156
129,"[1, 2, 2, 4]","[192, 192, 192, 192]","[4, 3, 6, 5]",4,9,20.292552947998047
130,"[4, 6, 2, 2, 3, 5]","[48, 48, 48, 48, 48, 48]","[5, 6, 6, 6, 5, 6]",6,10,7.314172744750977
131,"[2, 1, 2, 4, 4]","[80, 80, 80, 80, 80]","[4, 5, 3, 3, 6]",5,11,9.393545150756836
132,"[4, 5, 5, 4]","[96, 96, 96, 96]","[4, 3, 4, 6]",4,12,10.670356750488281
133,"[5, 5, 1, 1, 5, 6, 4]","[80, 80, 80, 80, 80, 80, 80]","[3, 4, 6, 5, 5, 3, 3]",7,13,14.564967155456543
134,"[1, 5, 5, 3, 2, 4, 3, 1]","[48, 48, 48, 48, 48, 48, 48, 48]","[6, 5, 4, 6, 6, 5, 4, 5]",8,14,9.74808120727539
135,"[2, 3, 6, 5]","[112, 112, 112, 112]","[6, 3, 6, 6]",4,15,10.989203453063965
136,"[6, 1, 1, 4, 5, 6, 2]","[96, 96, 96, 96, 96, 96, 96]","[4, 3, 3, 6, 4, 3, 5]",7,16,17.873754501342773
137,"[1, 3, 3, 3, 5, 6, 2]","[112, 112, 112, 112, 112, 112, 112]","[3, 5, 3, 4, 6, 3, 5]",7,17,20.7157039642334
138,"[3, 1, 5, 5, 4]","[144, 144, 144, 144, 144]","[3, 5, 3, 3, 4]",5,18,17.421600341796875
139,"[5, 2, 3, 1]","[80, 80, 80, 80]","[4, 4, 4, 6]",4,19,6.915452003479004
140,"[6, 6, 4, 3, 2, 3, 6, 3]","[192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 6, 5, 4, 5, 3, 3]",8,0,34.27787399291992
141,"[3, 3, 6, 3, 1, 1, 5, 1, 3, 1]","[176, 176, 176, 176, 176, 176, 176, 176, 176, 176]","[4, 5, 4, 5, 6, 3, 6, 6, 3, 3]",10,1,42.7965202331543
142,"[3, 2, 3, 2, 6, 4, 6]","[112, 112, 112, 112, 112, 112, 112]","[5, 3, 3, 3, 5, 3, 5]",7,2,23.262556076049805
143,"[6, 3, 1, 6, 2, 6, 5, 2]","[160, 160, 160, 160, 160, 160, 160, 160]","[5, 3, 6, 6, 5, 4, 5, 5]",8,3,28.865890502929688
