,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,6,"[144, 144, 144, 144, 144, 144]","[6, 5, 6, 4, 5, 5]","[6, 5, 1, 4, 4, 1]",89.0705,0.8823,0.8815,0.8440,0:06:40,1438677,70803768
0,4,"[128, 128, 128, 128]","[4, 6, 6, 4]","[2, 1, 3, 1]",88.3937,0.8827,0.8769,0.8422,0:06:00,553853,26415480
0,7,"[176, 176, 176, 176, 176, 176, 176]","[6, 3, 6, 4, 5, 3, 6]","[2, 2, 4, 3, 5, 2, 3]",90.2955,0.8901,0.8964,0.8546,0:07:05,2256296,111720378
0,7,"[96, 96, 96, 96, 96, 96, 96]","[4, 6, 6, 3, 6, 4, 6]","[1, 2, 3, 1, 6, 3, 5]",87.0331,0.8570,0.8886,0.8132,0:07:01,697353,34831776
0,9,"[48, 48, 48, 48, 48, 48, 48, 48, 48]","[6, 6, 3, 5, 5, 5, 4, 3, 3]","[1, 1, 3, 6, 1, 1, 3, 4, 5]",83.6958,0.8370,0.8559,0.7839,0:07:44,223566,11652606
0,10,"[112, 112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 5, 4, 4, 3, 6, 6, 5, 5, 6]","[3, 3, 5, 3, 1, 5, 2, 2, 1, 4]",87.9737,0.8314,0.8781,0.7825,0:08:06,1284698,65045638
0,8,"[144, 144, 144, 144, 144, 144, 144, 144]","[6, 4, 5, 5, 6, 6, 4, 6]","[6, 2, 2, 1, 6, 1, 4, 4]",89.3530,0.8713,0.8892,0.8313,0:07:24,1817553,90608000
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[6, 3, 4, 3, 5, 6, 6, 3, 3]","[5, 3, 4, 6, 1, 4, 3, 2, 6]",89.9630,0.8946,0.8936,0.8600,0:07:49,3942723,196059836
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[3, 5, 5, 4, 4, 5, 4, 3, 6, 6]","[1, 6, 6, 6, 4, 1, 3, 1, 1, 5]",89.5105,0.8743,0.8812,0.8342,0:08:12,6360969,316328880
0,6,"[80, 80, 80, 80, 80, 80]","[6, 4, 6, 4, 5, 4]","[4, 2, 3, 4, 6, 6]",83.8258,0.8247,0.8839,0.7740,0:06:38,515437,25424392
0,5,"[176, 176, 176, 176, 176]","[6, 4, 4, 6, 4]","[4, 3, 4, 4, 4]",88.9856,0.8899,0.8766,0.8522,0:06:19,1886013,92091272
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[4, 4, 5, 3, 5, 5, 6, 6, 3]","[1, 4, 1, 2, 6, 1, 2, 3, 1]",89.8305,0.8983,0.8957,0.8646,0:07:49,2978679,148925364
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[5, 6, 4, 5, 5, 3, 3, 3, 4]","[5, 6, 6, 5, 6, 4, 5, 4, 4]",90.3042,0.8963,0.9053,0.8628,0:07:46,1640322,81932214
0,4,"[160, 160, 160, 160]","[3, 6, 4, 6]","[3, 6, 1, 2]",89.2343,0.8921,0.8842,0.8563,0:06:01,1099502,52913742
0,5,"[96, 96, 96, 96, 96]","[3, 5, 5, 6, 5]","[4, 2, 3, 5, 1]",88.5206,0.8794,0.8755,0.8390,0:06:17,509568,24807258
0,4,"[80, 80, 80, 80]","[3, 4, 5, 4]","[5, 1, 2, 3]",82.7734,0.8165,0.8610,0.7622,0:05:55,283123,13407436
0,6,"[96, 96, 96, 96, 96, 96]","[6, 5, 6, 5, 4, 3]","[6, 6, 6, 3, 3, 5]",87.6731,0.8731,0.8845,0.8307,0:06:36,807075,39742556
0,8,"[64, 64, 64, 64, 64, 64, 64, 64]","[6, 6, 6, 3, 3, 3, 4, 3]","[1, 1, 4, 4, 6, 4, 1, 4]",85.3057,0.8490,0.8947,0.8023,0:07:18,367385,18634784
0,7,"[112, 112, 112, 112, 112, 112, 112]","[3, 4, 4, 6, 4, 4, 5]","[2, 4, 5, 1, 4, 5, 4]",87.5056,0.8528,0.8880,0.8074,0:07:02,1036660,51513602
0,6,"[80, 80, 80, 80, 80, 80]","[4, 5, 6, 6, 5, 5]","[4, 1, 5, 3, 5, 5]",88.6831,0.8868,0.8883,0.8496,0:06:39,489677,24169992
0,4,"[96, 96, 96, 96]","[4, 6, 4, 4]","[1, 5, 6, 1]",84.4833,0.8434,0.8592,0.7912,0:05:55,435945,20804448
0,9,"[192, 192, 192, 192, 192, 192, 192, 192, 192]","[5, 3, 5, 4, 5, 4, 4, 3, 5]","[6, 1, 6, 5, 5, 4, 1, 1, 4]",90.6255,0.9063,0.9010,0.8744,0:07:49,3864177,192192560
0,6,"[64, 64, 64, 64, 64, 64]","[4, 4, 3, 5, 5, 3]","[2, 3, 6, 4, 3, 5]",88.6631,0.8867,0.9048,0.8506,0:06:36,318507,15715756
0,7,"[192, 192, 192, 192, 192, 192, 192]","[4, 4, 4, 4, 6, 5, 4]","[2, 2, 5, 1, 2, 2, 4]",90.0855,0.8834,0.8879,0.8461,0:07:05,2461635,121962428
